583c25b675d7c80001b73e9a,0.12
58a1fe40ea3d11000170d9b9,0.21
5929d9db8bc6770001fc1e50,0.25
59a960f59fdf6c0001cba7b4,0.03
5b3e01e5f7f42f0001251c6f,0.04
5c3ce83e9883d400014200a5,0.16
5cacd2d26c35bf0001a5c2dd,0.21
5e7414b9929931398ae59f02,0.2
5eba98ceb89aff210c709192,0.18
5ec3c725207364223a477f7a,0.23
5ee93308091bd42bbf3b215a,0.09
5f217f528ba46c08032a1c42,0.11
5f2f03deec679e2cf4a992e6,0.19
5f6c423e8071b21b35b07ea6,0.06
5f75d01a857e4e27a575f7ca,0.22
601941db6605160008690742,0.06
601a788b7ab49028cd7a4ad4,0.17
601ab3dd36aef03452cd91d3,0.14
6026b041b99e3739fa65fd5e,0.02
6082f09379b513197ffeb54e,0.18
608abc6251feb3ddc3b2e01d,0.09
609c34dac301d73f3684005d,0.03
60b7959cedd10f9211decf60,0.06
60cc4cbfd6bdf9ee88cdd2f6,0.21
60cee4ec871f36088fe20ff3,0.03
6102a52c8a4ed0d104d68a15,0.16
6103a3ece71ab061d5624402,0.18
610a9bed3b04fbceb41ac03a,0.19
612687a5a3c9d923c4050e47,0.18
6136266c04528ef90b95faa5,0.19
6160ea8a744d43ad6387051f,0.25
616a8f7ddf01f27683011a8b,0.11
62728884995a1a76605d0214,0.08
62b44f66a16d45783569fad6,0.18
634694c3bb371c8377659b72,0.18
6400d919945d23676a68b781,0.17
650b03136ab3d4c832d98b71,0.19
651c7ab79b9fa0baac98b060,0.18
6522a83ec12b20b9be60c351,0.23
653fed546a45118a32fe378e,0.17
659abf4b5c81457c876eda7d,0.15
659ba3fa39833e0455675030,0.13
65b40d86a6572ea6620e8c3d,0.22
65ce2a4ff956b6a7e2282d49,0.21
65d0c176113325527b73866a,0.06
65f3beac5e96144b7402ae9c,0.03
65fae23bd06ae76bcc297e8b,0.23
6614435124bf16e7a24f9662,0.14
66168e55cb60649609600268,0.07
6617c54a41ce14946db85944,0.12
6637ab2fc7718b737f6c33c0,0.13
663932fbad731041c66eb85d,0.16
66478f227d798174d213c66e,0.12
664b65aa96495b522be699fb,0.02
6651fc4a649b5bb421a835a2,0.23
6655dcc47c97e774bbb5fc47,0.15
66592dfcb3c1b6f73d81495c,0.21
66645eff20ea0a1d14a3d5bb,0.04
66674eff867bcccdf7a346e6,0.15
666d92b060c715122bbcb522,0.13
6672d878f68b9e349b56e871,0.13
6677be3022288c5eff9880c0,0.02
66781db404eab5e142f849d9,0.13
668be3ac49d0ceb3ccb1ff45,0.04
668f75813a02a23e31c39ffa,0.2
66927fa4b5c5767152a2d9db,0.04
66ac06020347cd9ba2513744,0.12
66aca1b2b61fbce1984d5ecf,0.18
66ad6f2765f2ef7122225388,0.15
66ae2a21915bde402f570746,0.15
66b39d642d5d3c9ab18111e8,0.22
66b76c1a8425a6fff0ac88d7,0.18
66cf20c85bc64413772a1227,0.18
66ec69d204145257feb0cd33,0.04
66f0a65e356ecb6162bc2a86,0.14
66f411b9526618380d061527,0.19
670fae3ffefdc4fd64eadfc4,0.11
67104c7deff954cb22438402,0.18
6718da927f1110131780367d,0.14
671e6d002c9289cb169875ed,0.12
672b5998daafdbf9c43a531b,0.08
672b8d3c37b9296c39c3f677,0.23
672bcd37760518a349eb72c5,0.17
67304c02dbdf11737586b7f7,0.15
6731cef4aea51c98d72aa3c7,0.11
6739708559bb15e60ca871ac,0.12
6771efc8577afd6c2e78f972,0.13
6773b3c0cee988907232d527,0.11
67adeb124ea5587ac8afa3ac,0.17
67c048a816027b2413687ae6,0.25
67c8169d9052740e007760c0,0.12
67cef398f56e5476c926b86e,0.17
67cfae45fb29926bba542b56,0.2
67d04d58fc4188d981d914f0,0.15
67d05ecc81a53e6ca5097594,0.01
67d13bd326a4f1c00896e233,0.22
67d1cc8044430e99a7d91b4a,0.14
67d38e686bef986a7bf9e769,0.15
67d5c5f048737c8b4b882aef,0.21
67d5eb76e92d5d35968ef211,0.07
67d7ef67392ea169a7d970a8,0.07
67d82a253c711ce2e4745113,0.22
67d979a89f0273f08be9e143,0.24
67da6c21bcd71cf297d8db10,0.23
67e14691aaf8d92706dedd1c,0.13
67e2c50a17e1eff3a4cc5226,0.19
67ea62e9718f553d22141a4f,0.23
67f7bb9aaa1cb67247023347,0.2
67f7beafe30df7407736a68d,0.21
67fcf5dc1c789df535a17c14,0.05
681283131a28a131616dded5,0.15
