player.prolific_id,timeout_share,total_payment_cents,bonus
5422b9f9fdf99b328baf8de6,1.0,119,19
54aa0ddffdf99b57183eb64b,0.5,103,3
55ac3198fdf99b6de3b68b23,1.0,114,14
576311d7151e5d000889e2e7,1.0,112,12
5789972670c76a00012433b3,0.8421052631578947,201,101
57c015df4436cf0001c1d225,1.0,107,7
57d5ab3a722df500017f3622,1.0,107,7
57e4863fea00cf0001d4965e,0.6428571428571429,164,64
5810dfccaba80400016f13ea,0.4,105,5
58a5cf959e040a0001399f07,1.0,121,21
58bef6fd31de840001e84ba0,1.0,125,25
58bfee7de5869400018f5e9e,1.0,115,15
596634e005f2df00017281ae,0.5,110,10
597d52463358830001cad7cf,1.0,109,9
599f00c54d25e800012fc9a6,1.0,122,22
5a04e1227ecfc50001be0c11,0.8076923076923077,0,-100
5a913be789de8200013ea962,0.7407407407407407,219,119
5a9aa66a35237b000112937b,0.3333333333333333,112,12
5ac5a9a9f69e940001d984b5,0.96,0,-100
5b0d0beed282ff00015b9972,0.85,220,120
5b222aff59f9620001c109cb,1.0,121,21
5bae2de627fb5000013b068c,0.3333333333333333,109,9
5bb7b83ab791890001f4fd90,1.0,114,14
5c0ed000fd0c0a0001f881ea,1.0,106,6
5c2b9ce5b337310001996c05,0.8888888888888888,108,8
5c3a865019ceb400010c914a,0.25,0,-100
5c41f9ce4fe4f800016dfaac,0.8888888888888888,200,100
5c560b6fccb08c0001e134a8,0.7777777777777778,113,13
5c5cad3e4ee81200018eafe2,1.0,144,44
5c66cc9246bfc200019044b8,1.0,108,8
5c7bc8ea5a669300172440fc,1.0,122,22
5caccbc4976d010014b9cd9d,0.6,101,1
5cbfba1ad074ee00016acf52,1.0,111,11
5cc3f0f9fdb33500018c5eeb,0.8888888888888888,113,13
5ccb9a7eac174f001808e30e,0.9166666666666666,0,-100
5cfd23397cb818001727695c,1.0,117,17
5d1cbebd56f8cf0015425d2a,1.0,104,4
5d1d8aaf32ab4a00013fadb7,1.0,102,2
5d1e4a3ed4b9d60001ec8f1c,0.9130434782608695,206,106
5d779a30f80b9e00165b3772,1.0,125,25
5d7e6ca9e7d6cc0018914ee9,1.0,108,8
5d8a62e934146e001a8ea16d,1.0,103,3
5dbb6eaf9f4c94178fc8b7c5,0.7647058823529411,192,92
5dc12924d362410a4ad6d8dd,0.7777777777777778,125,25
5de311645feb6e33b01682db,1.0,110,10
5e1647f6f52510000a7389b6,1.0,102,2
5e459f61418f610891628564,1.0,104,4
5e5bd71ee0777c3bbe5b108c,0.5,111,11
5e688b541b3dbf12adf3d94e,0.7857142857142857,154,54
5e714522bac83d05b8a3e63b,0.6666666666666666,117,17
5e7387ad686c0c2e059572db,0.5,109,9
5e81b4ab1fa05c00097c8c9d,1.0,115,15
5e822d17f956a29530ccc2f8,0.7692307692307693,0,-100
5e8d0662babca60cd2457e75,0.5,106,6
5ea07f2c55a2bd050fd8f70b,1.0,115,15
5ea8018973b0521f70fe7ba1,1.0,117,17
5ea967566e16ad037690bc4c,0.8571428571428571,150,50
5ea9907f7f05ba09cf73958d,0.2857142857142857,122,22
5eac8da06e45b62f3939a76c,0.75,117,17
5edca29654fe059801608fc0,1.0,107,7
5ee93a8aa43b042d2529faec,0.8333333333333334,101,1
5f16d4bf2c8000017b20331a,0.8,116,16
5f3ec93efbd299158253f283,1.0,118,18
5f4538b6ffe9f50c3cbe3ae1,1.0,122,22
5f4e12f4bfcaa83ec7f3f5f0,0.3333333333333333,103,3
5f4e97aae4fe380a7bad99c7,1.0,108,8
5f5327adfc189062fa0e0fb1,1.0,111,11
5f54cdbcd2fd0a8484ef4645,0.5,109,9
5f966b181caf595331d1685e,1.0,185,85
5f97222fa31f2709bcd63373,1.0,124,24
5fb2f265c927279c34edfe94,1.0,162,62
601705a0246e51313e8ed38e,0.8666666666666667,163,63
602ba62750c603308389e87f,1.0,112,12
603564dc82c4a0fb713861b5,1.0,123,23
60547b4561f591f963b10ca7,1.0,103,3
606e3cce02e2e8a8c965ca75,1.0,123,23
609193e5a0cea97bf00ac6e2,0.75,117,17
6099911160f3e9d0d94b18e8,0.5,115,15
60a312b33a3666a9ec786414,1.0,124,24
60a8bd22d03adbe92cbb9a5e,1.0,0,-100
60aad516e34718d318bfb44d,0.5,115,15
60ca1c436511b9fc8ab35615,1.0,107,7
60dae7f7ca5ccaa419552ed8,1.0,114,14
60db6cbfbdc2bef6285fe52c,0.6666666666666666,111,11
60dca1012ab07b005628136f,0.6666666666666666,109,9
60e197c98498a8f2baa8bc24,1.0,121,21
60e282f9202a8126e2ea0315,0.8,124,24
60ec17bbca621383f7703474,0.5,124,24
60ed8b9aa9275e30071f2e86,1.0,121,21
60efa510e3cdfbbf4d7c355b,1.0,121,21
60f69cc95b0429dc763ff1a0,0.8695652173913043,223,123
610fcfe70592d59fc629f2a5,0.9333333333333333,163,63
611117d79c57e6744e059bc4,1.0,110,10
6116d9f7527268b298bb3b2a,0.8181818181818182,116,16
6117bb7900c0ba81f079a4ee,1.0,113,13
611cd5bfd7197f8a2a3682d1,0.6666666666666666,109,9
614831813dc412ccc8e2f563,0.7037037037037037,0,-100
614dcc85f9b130cad7844ceb,1.0,119,19
6151b373b274d12a949a4369,1.0,125,25
615b1ab789b14c9996251fb4,0.6666666666666666,113,13
615b8628e36642dc441f4711,0.75,121,21
615dd36156bf443246c0b660,1.0,101,1
615e28098f24bcb3e5e83300,1.0,0,-100
6161bdbff67e4b4621b530e7,0.8095238095238095,213,113
616f798530ff27d100493ede,0.7037037037037037,0,-100
6170cb31c3656859cca7cc57,0.5,104,4
61767385d5bf6ad7a176572c,0.8888888888888888,122,22
62714a240ed387f760f6741b,1.0,123,23
62b626b7cc2365d4e7f5c5aa,1.0,114,14
631c8e97db06f601f81bd82f,1.0,121,21
6323548b436fb6bb2948c920,0.9285714285714286,157,57
63236eea29b04198102f9ad3,0.5,112,12
634957b2decaf2d2b47f1e85,0.5,109,9
63cfee94707bca4ddee3eb05,0.2,106,6
63d190d52bb71e0e81d868f2,1.0,123,23
63e5665b49cf3cdbd54ea57b,0.6,120,20
6405feae7d6321bfaaf793e8,0.8,220,120
644f162cac2c2b8aa0583b89,0.6666666666666666,101,1
645d03acd1302079adbc39f9,1.0,125,25
646219bb0b91a6f3327e39fb,0.5,109,9
646bd812bf93129feeb5a3dc,1.0,101,1
6472025f5e1c922497375ce2,0.5,113,13
64da2b7a027be8f2c3e6dfc2,0.8333333333333334,121,21
64fee13e6324ea4884bcc9db,0.6,117,17
650433154f8a5c79177fae99,0.8181818181818182,121,21
6516ef80edad82a92cb27fb9,0.5,108,8
6544fd514964fea23051c3b7,1.0,103,3
656c8bf46599eb729c0ade1c,0.6666666666666666,106,6
6581aa86ae8e6b6ae9adc48e,1.0,117,17
65956ab743aa1e8fe002ba3b,0.3333333333333333,120,20
65a2c1313cc27e970219a392,1.0,101,1
65a96ef16673a664102383bf,0.75,114,14
65cce024500351e8c8f7ff26,0.6,106,6
65cf6d8a589a67afcab54e6f,0.7857142857142857,157,57
65f0f453b4f21e8b65058d03,0.3333333333333333,111,11
65f1ee12589aa15061efa22a,0.25,111,11
65fb0b185f0a504431d66cf1,0.5,123,23
65fb11fa63f6a4a129409026,1.0,112,12
65fb13bebfa339f73b4cf76a,1.0,102,2
65feaaac53eb219f09ad5ea0,0.9,106,6
66033df1ae671a48d8065a7f,1.0,103,3
6605ce2090686829a483140a,0.16666666666666666,118,18
6609619feb79146b62811775,1.0,113,13
660d675bbdf59327d9deb4ad,0.6666666666666666,117,17
6612a3d099bbffc5cc1eebff,1.0,118,18
661415341b1fdb1844c6f6a6,0.5,118,18
661d0519cc11725a3f0e16ab,0.75,118,18
6629590de0554e4996934b9e,1.0,125,25
6630ec10efe9f6624eb24482,1.0,106,6
66422fc2e658598209ebc05a,1.0,108,8
664a0d8b5ef52adae600c9fa,1.0,112,12
664b8cea76bb80570322160f,1.0,119,19
664e326b5579c6f6ca3fd1ff,1.0,123,23
664e413a5f3eb7f99d90e15b,0.2,108,8
6650e473608d3961fbf2ddf0,0.5,114,14
6651d67c16a15ab9a2efbe48,1.0,105,5
6651e26558b5973c2cff426b,0.6666666666666666,105,5
66587a03138c697f41bd4fa8,1.0,119,19
6658bbc6589d777bab78b02c,0.9285714285714286,144,44
6659beb07a900f403259c2d9,1.0,121,21
665a9ddb536966183500a7b1,0.8333333333333334,120,20
665ae83fe8e62bc79a731fb9,1.0,118,18
665c74c0a74cc37cc0299d7c,1.0,103,3
666328d8677a71d72b2544f2,1.0,131,31
6663292eb7436e1528fc7a96,0.9545454545454546,0,-100
6665fdcffb9c8e828cd159cd,1.0,109,9
6666a596046b0de2fab51dd7,0.2222222222222222,219,119
666c4699beb014a7b85ccea1,0.8,116,16
6670361dc14a62aa74565156,0.8333333333333334,114,14
6670687c2a93686aaa3ea236,0.6666666666666666,115,15
66720be5c9d45c5be53d1029,1.0,114,14
6672e6b02916e61a88d5aa27,0.5,121,21
667da6b83c73b101dbb3f463,0.5,106,6
66800d282a98aea1521563b4,0.5,103,3
6686a110135b1a9aca0610ad,0.3333333333333333,121,21
668796f32bb0599e8ff9bfef,0.8823529411764706,194,94
668970d8dd2605a617d7c2e3,0.42857142857142855,117,17
66897958f4e99d36b4091abe,0.5,124,24
668dc78871d7ac60f95d1aa2,0.5882352941176471,172,72
669177c66d14fd83c2a18125,0.6666666666666666,109,9
